"['sub-CC00237XX15', 'ses-79300']"
"['sub-CC00100XX01', 'ses-35000']"
"['sub-CC00448XX20', 'ses-135800']"
"['sub-CC00418BN14', 'ses-130300']"
"['sub-CC00380XX10', 'ses-121200']"
"['sub-CC00293BN14', 'ses-97500']"
"['sub-CC00218BN12', 'ses-74800']"
"['sub-CC00195XX15', 'ses-65800']"
"['sub-CC00838XX22', 'ses-30610']"
"['sub-CC00138XX15', 'ses-46200']"
"['sub-CC00119XX12', 'ses-39400']"
"['sub-CC00203XX05', 'ses-69500']"
"['sub-CC00232XX10', 'ses-78300']"
"['sub-CC00270XX07', 'ses-88600']"
"['sub-CC00421AN09', 'ses-126000']"
"['sub-CC00465XX12', 'ses-137900']"
"['sub-CC00113XX06', 'ses-37200']"
"['sub-CC00430XX10', 'ses-131100']"
"['sub-CC00216BN10', 'ses-73200']"
"['sub-CC00621XX11', 'ses-195900']"
"['sub-CC00497XX20', 'ses-144500']"
"['sub-CC00688XX21', 'ses-199500']"
"['sub-CC00428XX16', 'ses-130400']"
"['sub-CC00370XX08', 'ses-142400']"
"['sub-CC00226XX12', 'ses-76600']"
"['sub-CC00845BN21', 'ses-26410']"
"['sub-CC00457XX12', 'ses-138601']"
"['sub-CC00846XX22', 'ses-26710']"
"['sub-CC00546XX19', 'ses-173100']"
"['sub-CC00595XX19', 'ses-189900']"
"['sub-CC00170XX06', 'ses-56100']"
"['sub-CC00648XX22', 'ses-204400']"
"['sub-CC00617XX15', 'ses-188400']"
"['sub-CC00189XX17', 'ses-62301']"
"['sub-CC00688XX21', 'ses-205500']"
"['sub-CC00371XX09', 'ses-134700']"
"['sub-CC00306XX09', 'ses-98700']"
"['sub-CC00789XX23', 'ses-21110']"
"['sub-CC00102XX03', 'ses-35200']"
"['sub-CC00735XX18', 'ses-222201']"
"['sub-CC00540XX13', 'ses-164400']"
"['sub-CC00304XX07', 'ses-111600']"
"['sub-CC00121XX06', 'ses-41700']"
"['sub-CC00103XX04', 'ses-35300']"
"['sub-CC00361XX07', 'ses-111700']"
"['sub-CC00147XX16', 'ses-48500']"
"['sub-CC00336XX15', 'ses-106600']"
"['sub-CC00740XX15', 'ses-238400']"
"['sub-CC00341XX12', 'ses-108000']"
"['sub-CC00586XX18', 'ses-179000']"
"['sub-CC00251XX04', 'ses-83800']"
"['sub-CC00852XX11', 'ses-28210']"
"['sub-CC00072XX07', 'ses-27600']"
"['sub-CC00483XX14', 'ses-144200']"
"['sub-CC00416XX12', 'ses-128900']"
"['sub-CC00422XX10', 'ses-127800']"
"['sub-CC00126XX11', 'ses-43100']"
"['sub-CC00332XX11', 'ses-105700']"
"['sub-CC00065XX08', 'ses-18600']"
"['sub-CC00424XX12', 'ses-129400']"
"['sub-CC00299XX20', 'ses-94900']"
"['sub-CC00499XX22', 'ses-145800']"
"['sub-CC00569XX17', 'ses-170600']"
"['sub-CC00343XX14', 'ses-108500']"
"['sub-CC00507XX12', 'ses-148202']"
"['sub-CC00209XX11', 'ses-70400']"
"['sub-CC00476XX15', 'ses-141500']"
"['sub-CC00069XX12', 'ses-26300']"
"['sub-CC00723XX14', 'ses-211900']"
"['sub-CC00534XX15', 'ses-155100']"
"['sub-CC00231XX09', 'ses-77701']"
"['sub-CC00300XX03', 'ses-96000']"
"['sub-CC00685XX18', 'ses-226100']"
"['sub-CC00703XX10', 'ses-206101']"
"['sub-CC00180XX08', 'ses-59500']"
"['sub-CC00788XX22', 'ses-243000']"
"['sub-CC00792XX18', 'ses-1800']"
"['sub-CC00389XX19', 'ses-133800']"
"['sub-CC00518XX15', 'ses-166600']"
"['sub-CC00338BN17', 'ses-107600']"
"['sub-CC00188XX16', 'ses-61800']"
"['sub-CC00347XX18', 'ses-109600']"
"['sub-CC00335XX14', 'ses-106300']"
"['sub-CC00216AN10', 'ses-73100']"
"['sub-CC00489XX20', 'ses-142900']"
"['sub-CC00298XX19', 'ses-94700']"
"['sub-CC00686XX19', 'ses-198800']"
"['sub-CC00480XX11', 'ses-141609']"
"['sub-CC00486XX17', 'ses-144300']"
"['sub-CC00187XX15', 'ses-61500']"
"['sub-CC00467XX14', 'ses-139000']"
"['sub-CC00705XX12', 'ses-226000']"
"['sub-CC00196XX16', 'ses-66100']"
"['sub-CC00446XX18', 'ses-135200']"
"['sub-CC00284AN13', 'ses-90701']"
"['sub-CC00576XX16', 'ses-178200']"
"['sub-CC00395XX17', 'ses-129500']"
"['sub-CC00582XX14', 'ses-178300']"
"['sub-CC00293AN14', 'ses-97401']"
"['sub-CC00518XX15', 'ses-145700']"
"['sub-CC00433XX13', 'ses-132000']"
"['sub-CC00593XX17', 'ses-189401']"
"['sub-CC00244XX14', 'ses-81200']"
"['sub-CC00154XX06', 'ses-50700']"
"['sub-CC00622XX12', 'ses-185600']"
"['sub-CC00176XX12', 'ses-57600']"
"['sub-CC00238AN16', 'ses-80300']"
"['sub-CC00357XX11', 'ses-113900']"
"['sub-CC00482XX13', 'ses-142000']"
"['sub-CC00744XX19', 'ses-221001']"
"['sub-CC00233XX11', 'ses-77800']"
"['sub-CC00589XX21', 'ses-184000']"
"['sub-CC00617XX15', 'ses-176500']"
"['sub-CC00498XX21', 'ses-144900']"
"['sub-CC00418AN14', 'ses-130200']"
"['sub-CC00354XX08', 'ses-112100']"
"['sub-CC00720XX11', 'ses-211101']"
"['sub-CC00185XX13', 'ses-60800']"
"['sub-CC00871XX14', 'ses-38810']"
"['sub-CC00150AN02', 'ses-54800']"
"['sub-CC00284AN13', 'ses-111400']"
"['sub-CC00731XX14', 'ses-214500']"
"['sub-CC00649XX23', 'ses-191201']"
"['sub-CC00580XX12', 'ses-173700']"
"['sub-CC00411XX07', 'ses-126200']"
"['sub-CC00569XX17', 'ses-158300']"
"['sub-CC00529AN18', 'ses-170000']"
"['sub-CC00799XX25', 'ses-23810']"
"['sub-CC00572BN12', 'ses-161400']"
"['sub-CC00407BN11', 'ses-137200']"
"['sub-CC00417XX13', 'ses-129000']"
"['sub-CC00517XX14', 'ses-145000']"
"['sub-CC00804XX12', 'ses-900']"